"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","F.999","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","M.999","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35"
2003,"7","Enter Fleet",3,0,"1","Enter","Enter",34,0,0,12.032831919183,3.70667016582965,0,0,8.73225779515241,9.3160954112681,2.18308575051082,0,0,1.42857873201922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895439215960273,37.1494375493135,0.912906628584867,0.912906628584867,0.564154824328953,7.33742099191046,4.11745258662559,4.25216468106209,2.11253444488563,0,2.18308575051082,0,1.30962991239027,0,0.853347011879545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",3,0,"1","Enter","Enter",26,0,0,1.33401657156647,6.62613434870802,3.54967792368521,14.4501239129127,4.3240348500128,8.2485820071278,2.68298657777275,4.02441908033946,1.34149328888638,0,0,0,0.747428586711989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88510534573131,4.40196291183491,3.9412026087057,9.15630411882023,11.1356282600463,5.43077137231803,8.04889894699858,2.68298657777275,1.34149328888638,0,0,2.68298657777275,0,0.522397631278695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44136521211082
2005,"7","Enter Fleet",3,0,"1","Enter","Enter",36,0,0,0,0.435219651187383,1.75379222209313,0.849377807421509,1.23909233082667,8.30339006613397,6.40693311910199,19.1842766606352,6.41923180228637,4.79385100979876,0,2.06967072252348,4.13934144504696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389736485339421,0.435219651187383,1.57122266260781,0.545424637293165,1.42721825967923,7.79433439197177,9.92341214666268,2.32601041918085,4.3284117370726,4.43541028077674,6.3173503892643,0.11822109210989,0,2.06967072252348,2.72418028727528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"7","Enter Fleet",3,0,"1","Enter","Enter",34,0,0,0.606498611415067,1.17137643234049,1.16724828328377,0.533153278174476,5.68118135185006,8.47113151434645,10.9252878535717,4.22145653539718,6.33857495163562,2.7163220793204,1.3581610396602,1.41878262580817,3.06263420018809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09961449873809,0,1.3012717526594,4.68477057952992,15.68538301589,6.74743135821193,9.100363220567,2.13255656271083,3.08180464580764,2.89383248875928,1.3581610396602,3.31021004361701,0,0.533153278174476,0,0,0,0.399638758682544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"7","Enter Fleet",3,0,"1","Enter","Enter",26,0,0,0,0,0,3.08490636320619,4.16025565356955,1.15168612904532,3.69978531114576,4.08755876218659,5.54966095761911,6.3252758960989,5.16185348837921,5.16185348837921,1.46206817723346,2.92417037266597,1.46206817723346,1.84987564647335,0.775614938479788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385630304500302,1.54245318160309,3.47053666770649,3.08711754614484,1.16342240771968,6.31153254368022,11.036762447174,10.2647534377942,5.937468426859,2.23768311571324,2.92417037266597,0.333820587337814,1.82147045026148,0.775614938479788,0,0,0,0,1.46206817723346,0,0,0,0.388862033410634,0,0,0,0,0,0,0,0,0
2008,"7","Enter Fleet",3,0,"1","Enter","Enter",29,0,0,0,0,1.65108288058743,4.4202344033187,1.4734467971451,2.905664216928,4.4202344033187,6.19691320209178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65108288058743,5.60115399861368,16.8320787873264,18.610241419732,14.7342559952178,12.7608632520122,4.65468011726525,0.800104292306747,1.28584783074122,0,0,0,0,0,0,0.914465470131489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08765005267609
2009,"7","Enter Fleet",3,0,"1","Enter","Enter",29,0,0.606596542433615,2.61592639735905,0,0,1.11445585001163,1.63879396807722,8.36438651016092,13.082683618367,3.22774462048214,0.699366142215525,0.522168068947886,0,0,0,0.699366142215525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9881793355716,1.04874405016611,0,3.41036781654405,4.46941960001926,12.3237089394495,20.2337414155909,5.97461991928774,1.06393439399005,1.90889726919663,1.31884735128552,0,1.31884735128552,0,1.39866447039612,0,0,1.39866447039612,0,0,0,0,0.571875756550327,0,0,0,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",3,0,"1","Enter","Enter",26,0,25.1560932349147,0,0,0,0,0,0,5.38980758205533,4.83463523004156,0,0,1.79652787731117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8957825713057,1.67716246237638,0,0,0,0,4.90226816683388,1.74166009746309,3.09790203525871,2.78034076250537,3.18143543070087,3.48354414504801,1.79652787731117,0,3.26631252687401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"7","Enter Fleet",3,0,"1","Enter","Enter",21,0,0,12.2142139867398,2.01881235854648,6.05674416604993,0,0,0,0,1.84837718072578,1.6220515481963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19090889548792,12.0944487266496,2.01881235854648,46.4342196986215,0,0,0,0,2.01512727362063,4.48628380681556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"7","Enter Fleet",3,0,"1","Enter","Enter",32,0,0,11.0253573712686,3.50802896997563,0,3.21979845470416,0,2.71939225277859,6.43959690940833,3.01799388104333,2.56641833612777,3.21979845470416,2.70037854562425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.330008815446,0,0,6.53336905605587,6.24643492990856,3.21979845470416,2.49987036108758,9.30202409555252,6.76110141219989,6.03123433529808,3.21979845470416,0,3.21979845470416,0,0,0,0,0,0,0,0,3.21979845470416,0,0,0,0,0,0,0,0,0,0,0,0
2013,"7","Enter Fleet",3,0,"1","Enter","Enter",31,0,0,1.00123795105165,2.00247590210329,5.00625773719407,7.34320476363021,7.00873363929737,0.749296896828575,1.48887237683203,2.04550846749002,6.21606426740287,4.66206519603611,0,0,3.10806612466935,0.777033526651298,0,0,1.55399907136676,0.777033526651298,1.55399907136676,0.777033526651298,0.777033526651298,0.777033526651298,0.777033526651298,0.777033526651298,0,0,0,0.777033526651298,0,0,0,0,0,0,0,0,3.07801810902807,5.31224443040995,5.76140108050489,14.7752619174033,9.78824306805196,1.00123795105165,2.46006231224239,3.20534827485641,0.777033526651298,2.33103259801805,0,0,0,0,0,0,0,0.777033526651298,0,0,0,0,0,0,0.777033526651298,0,0,0,0,0,0,0,0,0
2014,"7","Enter Fleet",3,0,"1","Enter","Enter",46,0,0.630357168156638,4.0210815635493,2.54317611889548,14.7185228737798,9.40056387515407,7.24271425130697,6.76965416601731,0,0.194983211254835,0,0.292705042290637,0,0,0.332693424762337,0.23355482198263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930429423515577,7.39406089284955,4.0521442840344,18.1343241290396,9.27330235325787,7.01836844565972,3.66749075556437,1.28508281030843,0,0,0.292705042290637,0.613993454514543,0.332693424762337,0.332693424762337,0,0.292705042290637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"7","Enter Fleet",3,0,"1","Enter","Enter",34,0,0,0,0.707777901413152,2.08514520974741,4.95435629242239,3.84573272504729,3.24148214087015,6.18119505953043,3.40322688327584,4.16512740625348,3.96029820852342,2.82585957494158,3.96029820852342,2.82585957494158,0,0,0,0,0.55707132524758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33926783131189,1.4155558028263,8.89337932569267,7.08409925447869,11.0504506509402,5.09473684210526,0,2.98653610771114,4.07290530766663,4.517369533771,5.73753199065317,3.40322688327584,0,1.13443863358184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55707132524758,0,0,0,0
2016,"7","Enter Fleet",3,0,"1","Enter","Enter",43,0,0,0,0,0.88684440987581,1.50937352662667,1.0457376545892,0.665219690599591,4.27562250752095,0.207665195330539,0.568297748352975,0.126914186763572,0,3.2927372639644,3.27314555585252,6.55771096978437,0.273420081639028,3.27314555585252,0,6.2924627381779,0,3.14623136908895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269601944520222,0.269601944520222,0.463635872037467,1.83400156491792,4.45737274503154,1.00831645549719,1.07842505471943,0.148561814862505,0.269601944520222,0.144657294550965,9.83717977534496,12.5849254763558,9.83522751518919,0.126914186763572,0.126914186763572,3.14623136908895,0,6.2924627381779,0.126914186763572,0,0,3.14623136908895,6.2924627381779,0,0,0,0,3.14623136908895,0,0,0,0,0
2017,"7","Enter Fleet",3,0,"1","Enter","Enter",41,0,0,0,0,0,3.40179301694111,3.10055247808243,11.0137404318841,5.582363735725,7.37868160806699,3.14872162268889,1.88373142156437,0,0,0,1.0247557616532,0,0,0,0,1.0247557616532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9295031120446,3.34054240412934,0,1.21290884172768,2.7631239524128,8.82669010735362,7.8183167451351,10.7120108661766,2.04963378001861,1.53481076494802,0,0,2.04963378001861,1.0247557616532,2.04963378001861,1.0247557616532,2.04963378001861,1.01509748138947,0,0,0,0,0,0,1.0247557616532,0,0,0,0,1.01509748138947,0,0,0,0,0
2018,"7","Enter Fleet",3,0,"1","Enter","Enter",34,0,0,0,0,0,0,9.48936237162018,7.26031696348353,9.93179298255202,8.90963998585679,3.65537280347651,2.22291778971835,0.532109134540143,0,0,0,0.564403339717649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83547510158184,15.1432496416585,17.8085980423087,7.11905051724552,9.62383875420549,0.590321509513956,0.828387765630188,0,0.828387765630188,0,0,0,0,0.828387765630188,0.828387765630188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"7","Enter Fleet",3,0,"1","Enter","Enter",34,0,0,0,1.96900801985451,3.39802419549327,0,1.56856339806804,17.296401369821,3.14052503957309,7.30764845938989,6.23862684656164,1.56856339806804,1.56856339806804,1.53512906747815,0,3.1036924655462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69901209774664,0,0,3.10062308437729,10.9319298953341,6.27765183570918,13.7602550217268,11.2875396279033,1.03514879921424,1.56856339806804,0,0,0,0,0,0,0,1.64453058199852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"7","Enter Fleet",3,0,"1","Enter","Enter",29,0,0,1.8244219220191,0,0.522550949916128,4.73368838033655,1.97068824754149,2.01469758442434,5.10911007655611,6.23705308110902,2.95706309107584,2.31188045951884,0.682336483500574,0.341192211977347,0,0,0.341192211977347,0,0,0.341192211977347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2251192638647,4.96945953370238,0.44939381692787,1.49454365721425,3.46523190475574,2.96185713648791,2.25583806865169,3.64395391771788,4.92957307587392,1.65687003486709,2.23762069608581,1.61751092203396,0,0.341192211977347,0.341192211977347,0,0.341192211977347,0,0.341192211977347,0.341192211977347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"7","Enter Fleet",3,0,"1","Enter","Enter",31,0,0,0,0,0,8.19223313876575,12.1107168773041,5.96440241711758,5.65547971334741,3.68813465497258,6.3732037551453,4.4455552186814,1.28813392659603,2.45872608762552,0,2.1900461881779,1.22940856734706,0,1.22940856734706,0,1.22940856734706,1.94695051500774,0,0.717541947660682,0,0,0,0,0,0,0,0,0,0,0,1.22940856734706,0,0,0,0.684127673483361,0.684127673483361,4.98346129998825,9.03378119386379,5.24777094014293,2.06130563317318,4.45074490159178,1.984279813135,2.59766391431378,1.91353624083042,1.22940856734706,1.22940856734706,0.754871245787935,0,0,0.737936491027767,0,0,0,0,1.22940856734706,0,0,0,0,0,0,0,1.22940856734706,0,0,0,0
